#---------- Tue Nov 29 16:15:24 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
3924,true,0.01,1
3925,false,0.01,1
3926,false,0.01,1
3927,false,0.01,1
3928,false,0.01,1
3929,false,0.01,1
3930,false,0.01,1
3931,false,0.01,1
3932,false,0.01,1
3933,false,0.01,1
3934,false,0.01,1
3935,false,0.01,1
3936,false,0.01,1
3937,false,0.01,1
3938,false,0.01,1
3939,false,0.01,1
3940,false,0.01,1
3941,false,0.01,1
3942,true,0.01,1
3943,false,0.01,1
3944,false,0.01,1
3945,false,0.01,1
3946,false,0.01,1
3947,false,0.01,1
3948,false,0.01,1
3949,false,0.01,1
3950,false,0.01,1
3951,true,0.01,1
3952,false,0.01,1
3953,false,0.01,1
3954,false,0.01,1
3955,false,0.01,1
3956,false,0.01,1
3957,false,0.01,1
3958,false,0.01,1
3959,false,0.01,1
3960,true,0.01,1
3961,false,0.01,1
3962,false,0.01,1
3963,false,0.01,1
3964,false,0.01,1
3965,false,0.01,1
3966,false,0.01,1
3967,false,0.01,1
3968,false,0.01,1
3969,true,0.01,1
3970,false,0.01,1
3971,false,0.01,1
3972,false,0.01,1
3973,false,0.01,1
3974,false,0.01,1
3975,false,0.01,1
3976,false,0.01,1
3977,false,0.01,1
3978,true,0.01,1
3979,false,0.01,1
3980,false,0.01,1
3981,false,0.01,1
3982,false,0.01,1
3983,false,0.01,1
3984,false,0.01,1
3985,false,0.01,1
3986,false,0.01,1
3987,true,0.01,1
3988,false,0.01,1
3989,false,0.01,1
3990,false,0.01,1
3991,false,0.01,1
3992,false,0.01,1
3993,false,0.01,1
3994,false,0.01,1
3995,false,0.01,1
3996,true,0.01,1
3997,false,0.01,1
3998,false,0.01,1
3999,false,0.01,1
4000,false,0.01,1
4001,false,0.01,1
4002,false,0.01,1
4003,false,0.01,1
4004,false,0.01,1
4005,false,0.01,1
4006,true,0.01,1
4007,false,0.01,1
4008,false,0.01,1
4009,false,0.01,1
4010,false,0.01,1
4011,false,0.01,1
4012,false,0.01,1
4013,false,0.01,1
4014,true,0.01,1
4015,true,0.01,1
4016,false,0.01,1
4017,false,0.01,1
4018,false,0.01,1
4019,false,0.01,1
4020,false,0.01,1
4021,false,0.01,1
4022,false,0.01,1
4023,true,0.01,1
4024,true,0.01,1
4025,false,0.01,1
4026,false,0.01,1
4027,false,0.01,1
4028,false,0.01,1
4029,false,0.01,1
4030,false,0.01,1
4031,false,0.01,1
4032,true,0.01,1
4033,true,0.01,1
4034,false,0.01,1
4035,false,0.01,1
4036,false,0.01,1
4037,false,0.01,1
4038,false,0.01,1
4039,false,0.01,1
4040,false,0.01,1
4041,false,0.01,1
4042,true,0.01,1
4043,true,0.01,1
4044,false,0.01,1
4045,false,0.01,1
4046,false,0.01,1
4047,false,0.01,1
4048,false,0.01,1
4049,false,0.01,1
4050,true,0.01,1
4051,true,0.01,1
4052,false,0.01,1
4053,false,0.01,1
4054,false,0.01,1
4055,false,0.01,1
4056,false,0.01,1
4057,false,0.01,1
4058,false,0.01,1
4059,true,0.01,1
4060,true,0.01,1
4061,false,0.01,1
4062,false,0.01,1
4063,false,0.01,1
4064,false,0.01,1
4065,false,0.01,1
4066,false,0.01,1
4067,false,0.01,1
4068,true,0.01,1
4069,true,0.01,1
4070,false,0.01,1
4071,false,0.01,1
4072,false,0.01,1
4073,false,0.01,1
4074,false,0.01,1
4075,false,0.01,1
4076,false,0.01,1
4077,true,0.01,1
4078,true,0.01,1
4079,false,0.01,1
4080,false,0.01,1
4081,false,0.01,1
4082,false,0.01,1
4083,false,0.01,1
4084,false,0.01,1
4085,false,0.01,1
4086,true,0.01,1
4087,true,0.01,1
4088,false,0.01,1
4089,false,0.01,1
4090,false,0.01,1
4091,false,0.01,1
4092,false,0.01,1
4093,false,0.01,1
4094,false,0.01,1
4095,true,0.01,1
4096,true,0.01,1
4097,false,0.01,1
4098,false,0.01,1
4099,false,0.01,1
4100,false,0.01,1
4101,false,0.01,1
4102,false,0.01,1
4103,false,0.01,1
4104,true,0.01,1
4105,true,0.01,1
4106,true,0.01,1
4107,false,0.01,1
4108,false,0.01,1
4109,false,0.01,1
4110,false,0.01,1
4111,false,0.01,1
4112,false,0.01,1
4113,true,0.01,1
4114,true,0.01,1
4115,true,0.01,1
4116,false,0.01,1
4117,false,0.01,1
4118,false,0.01,1
4119,false,0.01,1
4120,false,0.01,1
4121,false,0.01,1
4122,true,0.01,1
4123,true,0.01,1
4124,true,0.01,1
4125,false,0.01,1
4126,false,0.01,1
4127,false,0.01,1
4128,false,0.01,1
4129,false,0.01,1
4130,false,0.01,1
4131,false,0.01,1
4132,false,0.01,1
4133,false,0.01,1
4134,false,0.01,1
4135,false,0.01,1
4136,false,0.01,1
4137,false,0.01,1
4138,false,0.01,1
4139,false,0.01,1
4140,false,0.01,1
4141,false,0.01,1
4142,false,0.01,1
4143,false,0.01,1
4144,false,0.01,1
4145,false,0.01,1
4146,false,0.01,1
4147,false,0.01,1
4148,false,0.01,1
4149,false,0.01,1
4150,false,0.01,1
4151,false,0.01,1
4152,false,0.01,1
